long,lat,npp_mean,npp_flag
-17.2829151154,17.7659873962,2992.55343569565,0
-17.2826309204,17.6864204407,2916.26177539124,0
-17.2829360962,17.6306819916,2782.18625047021,0
-17.247795105,17.7289962769,2842.76659910299,0
-17.2367458344,17.7478275299,2842.76659910299,0
-17.2221508026,17.7783527374,2885.67932191643,0
-17.2162361145,17.7965183258,2856.23165048975,0
-17.1439876556,17.6043224335,2993.91059951134,0
-17.1350078583,17.6191883087,2993.91059951134,0
-17.1226558685,17.635225296,2940.4333344244,0
-17.1128406525,17.6477947235,2940.4333344244,0
-17.0983924866,17.6631641388,2976.50479037688,0
-17.0849590302,17.6767120361,2831.8740343003,0
-17.0725212097,17.687412262,2831.8740343003,0
-17.0611743927,17.6970252991,2937.45205059537,0
-17.0691356659,18.6104774475,3294.28716543923,0
-17.0598182678,18.6376876831,3166.93650530342,0
-17.0432777405,18.6402435303,3166.93650530342,0
-17.0229034424,18.6416168213,3166.93650530342,0
-16.9274425507,18.2817363739,3104.34106689231,0
-16.9253997803,18.3044509888,3139.34980760433,0
-16.9512424469,18.4342327118,3124.26462072722,0
-16.9582748413,18.4587039948,3124.26462072722,0
-16.9632911682,18.473897934,3175.63041845473,0
-17.01745224,18.5942516327,3327.48718074934,0
-17.0241584778,18.6076793671,3184.99366842248,0
-17.1849155426,17.8233890533,2895.04428156883,0
-17.1851806641,17.794095993,2795.99079127295,0
-17.310836792,17.6175231934,2901.35451493825,0
-17.3252296448,17.6349658966,2936.33495700874,0
-17.3372039795,17.6520786285,2936.33495700874,0
-17.3696861267,17.7435398102,2772.83445912349,0
-17.3697319031,17.7603340149,2749.97869077366,0
-17.3682613373,17.7757530212,2749.97869077366,0
-17.2615013123,17.5477142334,2937.17006526763,0
-17.27784729,17.61186409,2901.35451493825,0
-17.295671463,17.6298542023,2782.18625047021,0
-17.315870285,17.6523418427,2936.33495700874,0
-17.3304023743,17.7061862946,2943.01389376957,0
-17.3266506195,18.2322025299,2752.30768370163,0
-17.2992725372,17.9772758484,2885.01607569931,0
-17.3089332581,17.4156246185,2987.53876467854,0
-17.313287735,17.4324436188,2998.15001413001,0
-17.3130397797,17.4533348083,2998.15001413001,0
-17.3078994751,17.4720726013,3019.55892455547,0
-17.2589988708,17.5510139465,2937.17006526763,0
-17.411113739,18.1217441559,2916.65907771391,0
-17.5318813324,17.488899231,2804.54223093622,0
-17.528339386,17.6312084198,2786.4415408747,0
-17.5336914062,17.6529712677,2786.4415408747,0
-17.5323543549,17.6758975983,2708.98392665008,0
-17.5269927979,17.6864318848,2708.98392665008,0
-18.7479419708,16.7160148621,1968.37931689711,0
-18.7632217407,16.7006187439,2002.7321547718,0
-18.6652812958,17.7126789093,2371.30303301254,0
-18.6334323883,17.6311340332,2430.40570407711,0
-18.7789821625,16.9819774628,2008.23139818261,0
-18.7821407318,16.9802951813,2008.23139818261,0
-18.781835556,16.9810905457,2008.23139818261,0
-18.7918548584,17.010559082,2025.71369374535,0
-18.7943458557,17.0426673889,2025.71369374535,0
-18.79205513,17.1082439423,2060.63673158791,0
-18.7910480499,17.1208133698,2060.63673158791,0
-18.790977478,17.1209144592,2060.63673158791,0
-18.7907104492,17.1256847382,2060.63673158791,0
-18.7912940979,17.152173996,2111.18700499286,0
-18.7914886475,17.1727848053,2080.38279722881,0
-18.7895565033,17.1879787445,2080.38279722881,0
-18.6178741455,17.8761291504,2413.41377694015,0
-18.6136608124,17.8505249023,2413.41377694015,0
-18.5924282074,17.1624088287,2225.20329670467,0
-18.6054153442,17.1331710815,2225.20329670467,0
-18.6143894196,17.1481933594,2153.19909675345,0
-18.6171627045,17.1621074677,2153.19909675345,0
-18.44282341,18.3787345886,2506.75466266935,0
-18.830280304,18.7395858765,2549.7168683013,0
-19.0702991486,19.7435970306,2620.46531340714,0
-16.2076301575,27.1424293518,807.558604069878,0
-16.0574302673,28.0395507812,816.729061679495,0
-15.8971300125,28.3172302246,728.81090732065,0
-15.8777799606,28.3423595428,728.072286392048,0
-15.8488502502,28.3802108765,725.753116649917,0
-15.8357954025,28.4011173248,713.733564768087,0
-15.843580246,28.3883705139,713.733564768087,0
-15.843580246,28.3883705139,713.733564768087,0
-15.8358001709,28.4011192322,713.733564768087,0
-15.8358001709,28.4011192322,713.733564768087,0
-15.2062997818,29.6985797882,677.001890572552,0
-15.2062997818,29.6985797882,677.001890572552,0
-15.2062997818,29.6985797882,677.001890572552,0
-15.2062997818,29.6985797882,677.001890572552,0
-15.2062997818,29.6985797882,677.001890572552,0
-11.2936315536,38.0023193359,829.401853827592,0
-10.5235919952,39.4303779602,943.303919664107,0
-10.2800502777,39.8648796082,940.505514858626,0
-9.6004362106,41.0328407288,1160.00020627343,0
-9.5846719742,41.0603523254,1144.49256209028,0
-9.5678052902,41.0877914429,1144.49256209028,0
-9.543926239,41.1292610168,1156.04896921632,0
-8.751203537,42.2297897339,2556.7008039079,1
-8.7512769699,42.229801178,2556.7008039079,1
-8.9499187469,42.0980453491,2520.2096048302,0
-9.0481128693,41.9074859619,2514.74743684946,0
-9.6397447586,40.8087615967,1121.37225891647,0
-10.8750200272,38.4534683228,886.851368757269,0
-15.163775444,28.7058792114,711.308657617268,0
-15.1757564545,28.6729240417,708.072004479792,0
